hs_contact_id,email,account_name_freetext,lifecycle_stage_hs,hs_lead_score,lead_source_hs,segment_raw_hs,country,created_at,is_internal,_synced_at
HS-000001,jennifer831@example.com,"Watson, Anderson and Brown",lead,7,Inbound,SmallBiz,Canada,2026-01-21 14:48:56,false,2026-04-01 06:30:00
HS-000002,jasonklein2@example.com,"Bell, Campbell and Ryan",lead,22,outbound,SmallBiz,Australia,2026-02-20 01:42:21,false,2026-04-01 06:30:00
HS-000003,samantha223@example.com,Byrd-Holloway,marketingqualifiedlead,64,Event,Mid-Market,Germany,2026-03-16 10:06:21,false,2026-04-01 06:30:00
HS-000004,jennifer584@example.com,Torres and Sons,lead,29,outbound,Mid Market,Australia,2025-11-03 02:19:14,false,2026-04-01 06:30:00
HS-000005,qaguilar5@example.com,"Robinson, Jones and Welch",lead,5,Outbound,Small Business,Germany,2025-11-12 15:19:17,false,2026-04-01 06:30:00
HS-000006,icraig6@example.com,Sullivan-Doyle,marketingqualifiedlead,58,Content Download,Mid-Market,Germany,2026-02-09 01:00:14,false,2026-04-01 06:30:00
HS-000007,natalie607@example.com,"Brown, Valdez and Lucas",marketingqualifiedlead,79,Content,smb,Canada,2025-12-13 19:17:29,false,2026-04-01 06:30:00
HS-000008,johnsondustin8@example.com,"Franco, Wiley and Tapia",lead,9,Content Download,smb,Canada,2026-01-05 00:42:13,false,2026-04-01 06:30:00
HS-000009,gonzalezkaren9@example.com,Cook-Hines,marketingqualifiedlead,62,IB,Mid-Market,United States,2026-02-28 22:17:30,false,2026-04-01 06:30:00
HS-000010,tonyavega10@example.com,Adkins LLC,lead,24,Event,smb,Australia,2025-12-19 11:51:49,false,2026-04-01 06:30:00
HS-000011,maryvaughn11@example.com,Baker-Wilson,marketingqualifiedlead,69,IB,MidMarket,United Kingdom,2026-02-03 10:29:53,false,2026-04-01 06:30:00
HS-000012,james8012@example.com,"Fuller, Ingram and Moss",lead,33,Paid,enterprise,Canada,2025-11-18 11:49:37,false,2026-04-01 06:30:00
HS-000013,lisa1913@example.com,Sheppard LLC,marketingqualifiedlead,68,Channel,smb,Canada,2026-03-05 00:31:31,false,2026-04-01 06:30:00
HS-000014,juliahoffman14@example.com,Ballard Ltd,lead,5,Word of Mouth,MM,United States,2025-10-20 16:26:46,false,2026-04-01 06:30:00
HS-000015,williamrobles15@example.com,"Evans, Hernandez and Cannon",lead,27,Paid,SmallBiz,Australia,2026-03-06 13:34:11,false,2026-04-01 06:30:00
HS-000016,heather0616@example.com,Bruce-Villegas,marketingqualifiedlead,40,Cold Outreach,smb,United Kingdom,2026-02-20 20:50:03,false,2026-04-01 06:30:00
HS-000017,ybutler17@example.com,"Howard, Townsend and Hayes",marketingqualifiedlead,66,outbound,smb,United States,2025-11-22 14:07:34,false,2026-04-01 06:30:00
HS-000018,tammy0018@example.com,Parker Ltd,lead,30,Outbound,SMB,United Kingdom,2025-11-26 15:38:12,false,2026-04-01 06:30:00
HS-000019,james7319@example.com,Walker-Jones,marketingqualifiedlead,66,PPC,Mid Market,Germany,2025-09-24 05:17:54,false,2026-04-01 06:30:00
HS-000020,kari8920@example.com,Lewis-Livingston,lead,23,Content,Small Business,United States,2025-10-23 19:54:25,false,2026-04-01 06:30:00
HS-000021,kimberlybrandt21@example.com,Morgan LLC,lead,6,IB,Small Business,Germany,2025-10-15 16:50:07,false,2026-04-01 06:30:00
HS-000022,shane1222@example.com,Spencer-Lee,lead,31,IB,SmallBiz,Australia,2026-01-22 00:54:13,false,2026-04-01 06:30:00
HS-000023,jillwilson23@example.com,Davis Group,lead,11,Inbound,Mid Market,Germany,2025-10-16 08:53:49,false,2026-04-01 06:30:00
HS-000024,pattersonangela24@example.com,Ferrell-Henry,marketingqualifiedlead,79,Content,Enterprise,Germany,2026-01-18 09:23:56,false,2026-04-01 06:30:00
HS-000025,eugenesingleton25@example.com,"Hicks, Bullock and Bailey",lead,37,Outbound,SmallBiz,United Kingdom,2025-10-16 10:34:07,false,2026-04-01 06:30:00
HS-000026,riverajenna26@example.com,Davis Ltd,marketingqualifiedlead,63,Inbound,SmallBiz,United States,2026-01-03 03:56:51,false,2026-04-01 06:30:00
HS-000027,billmcfarland27@example.com,"Clark, Guerrero and Moore",lead,33,Outbound,ENT,Germany,2025-12-26 03:31:30,false,2026-04-01 06:30:00
HS-000028,ayalacolleen28@example.com,Williams Ltd,lead,27,Outbound,enterprise,Germany,2025-09-18 12:43:52,false,2026-04-01 06:30:00
HS-000029,tracy9829@example.com,Donovan-Harris,marketingqualifiedlead,55,inbound,smb,Germany,2025-11-18 12:57:56,false,2026-04-01 06:30:00
HS-000030,charles5830@example.com,"Edwards, Hines and Jimenez",lead,23,Content,Mid Market,United Kingdom,2025-10-21 01:37:43,false,2026-04-01 06:30:00
HS-000031,susanmeyer31@example.com,Young-Martinez,lead,7,Inbound,Mid-Market,Germany,2026-01-08 02:38:03,false,2026-04-01 06:30:00
HS-000032,robertherrera32@example.com,"Flores, Mckenzie and Duncan",marketingqualifiedlead,63,Content,SMB,Germany,2026-02-01 05:21:22,false,2026-04-01 06:30:00
HS-000033,baileynicole33@example.com,"Conner, Li and Santiago",marketingqualifiedlead,59,Content,Small Business,Australia,2025-08-28 19:39:00,false,2026-04-01 06:30:00
HS-000034,mark4334@example.com,Stewart-Bailey,marketingqualifiedlead,88,Referral,smb,Australia,2026-03-05 21:21:28,false,2026-04-01 06:30:00
HS-000035,wbarajas35@example.com,Kim Inc,marketingqualifiedlead,83,Cold Outreach,Mid-Market,Canada,2026-01-24 12:51:11,false,2026-04-01 06:30:00
HS-000036,wilsonmichael36@example.com,Fox-Edwards,lead,11,Cold Outreach,MM,Australia,2026-01-04 11:34:27,false,2026-04-01 06:30:00
HS-000037,rebeccaaustin37@example.com,"Valentine, Joyce and Murray",lead,19,IB,smb,United States,2026-03-26 22:20:36,false,2026-04-01 06:30:00
HS-000038,susanfleming38@example.com,"Johnson, Guzman and Mccall",marketingqualifiedlead,76,IB,smb,Australia,2025-09-19 06:57:30,false,2026-04-01 06:30:00
HS-000039,patrick1639@example.com,Taylor and Sons,lead,29,IB,MM,Australia,2025-09-19 07:16:50,false,2026-04-01 06:30:00
