user_id,full_name,email,role,segment_raw,timezone,is_active,_synced_at
USR-0001,Allison Hill,allison.hill@arcline.com,SDR,SmallBiz,America/New_York,true,2026-04-01 05:30:00
USR-0002,Noah Rhodes,noah.rhodes@arcline.com,SDR,Small Business,America/New_York,true,2026-04-01 05:30:00
USR-0003,Angie Henderson,angie.henderson@arcline.com,SDR,SMB,America/Denver,true,2026-04-01 05:30:00
USR-0004,Daniel Wagner,daniel.wagner@arcline.com,SDR,SmallBiz,America/Denver,false,2026-04-01 05:30:00
USR-0005,Cristian Santos,cristian.santos@arcline.com,SDR,SmallBiz,America/Denver,true,2026-04-01 05:30:00
USR-0006,Connie Lawrence,connie.lawrence@arcline.com,SDR,SmallBiz,America/Denver,true,2026-04-01 05:30:00
USR-0007,Abigail Shaffer,abigail.shaffer@arcline.com,SDR,SMB,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0008,Gina Moore,gina.moore@arcline.com,SDR,smb,America/Denver,true,2026-04-01 05:30:00
USR-0009,Gabrielle Davis,gabrielle.davis@arcline.com,SDR,smb,America/New_York,true,2026-04-01 05:30:00
USR-0010,Ryan Munoz,ryan.munoz@arcline.com,SDR,SmallBiz,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0011,Monica Herrera,monica.herrera@arcline.com,SDR,Small Business,America/Chicago,true,2026-04-01 05:30:00
USR-0012,Jamie Arnold,jamie.arnold@arcline.com,SDR,SmallBiz,America/Denver,true,2026-04-01 05:30:00
USR-0013,Lisa Hensley,lisa.hensley@arcline.com,SDR,MidMarket,America/Chicago,true,2026-04-01 05:30:00
USR-0014,Michele Williams,michele.williams@arcline.com,SDR,Mid-Market,America/New_York,true,2026-04-01 05:30:00
USR-0015,Dylan Miller,dylan.miller@arcline.com,SDR,MM,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0016,Brian Ramirez,brian.ramirez@arcline.com,SDR,Mid-Market,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0017,Holly Wood,holly.wood@arcline.com,SDR,Mid Market,America/Chicago,true,2026-04-01 05:30:00
USR-0018,Derek Zuniga,derek.zuniga@arcline.com,SDR,MM,America/New_York,true,2026-04-01 05:30:00
USR-0019,Lisa Jackson,lisa.jackson@arcline.com,SDR,Mid Market,America/Denver,true,2026-04-01 05:30:00
USR-0020,Carla Gray,carla.gray@arcline.com,SDR,ENT,America/New_York,true,2026-04-01 05:30:00
USR-0021,Margaret Hawkins DDS,margaret.hawkins.dds@arcline.com,SDR,enterprise,America/Chicago,true,2026-04-01 05:30:00
USR-0022,Patty Perez,patty.perez@arcline.com,SDR,enterprise,America/Denver,true,2026-04-01 05:30:00
USR-0023,Ethan Adams,ethan.adams@arcline.com,AE,SmallBiz,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0024,Tommy Walter,tommy.walter@arcline.com,AE,SMB,America/Chicago,true,2026-04-01 05:30:00
USR-0025,Matthew Foster,matthew.foster@arcline.com,AE,smb,America/Chicago,true,2026-04-01 05:30:00
USR-0026,Judy Baker,judy.baker@arcline.com,AE,SMB,America/Denver,true,2026-04-01 05:30:00
USR-0027,Justin Baker,justin.baker@arcline.com,AE,SMB,America/Denver,false,2026-04-01 05:30:00
USR-0028,Stephanie Ross,stephanie.ross@arcline.com,AE,Small Business,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0029,Zachary Hicks,zachary.hicks@arcline.com,AE,Small Business,America/Chicago,true,2026-04-01 05:30:00
USR-0030,Anthony Rodriguez,anthony.rodriguez@arcline.com,AE,Mid Market,America/Chicago,true,2026-04-01 05:30:00
USR-0031,Rebecca Henderson,rebecca.henderson@arcline.com,AE,MidMarket,America/Los_Angeles,false,2026-04-01 05:30:00
USR-0032,James Ferrell,james.ferrell@arcline.com,AE,MidMarket,America/New_York,true,2026-04-01 05:30:00
USR-0033,Tricia Valencia,tricia.valencia@arcline.com,AE,MidMarket,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0034,Nathan Maldonado,nathan.maldonado@arcline.com,AE,Mid-Market,America/Chicago,true,2026-04-01 05:30:00
USR-0035,Debra Davidson,debra.davidson@arcline.com,AE,Enterprise,America/Denver,true,2026-04-01 05:30:00
USR-0036,Jeffrey Chavez,jeffrey.chavez@arcline.com,AE,ENT,America/Chicago,true,2026-04-01 05:30:00
USR-0037,Sherri Baker,sherri.baker@arcline.com,AM,Mid-Market,America/Denver,true,2026-04-01 05:30:00
USR-0038,Cassandra Gaines,cassandra.gaines@arcline.com,AM,MM,America/Los_Angeles,true,2026-04-01 05:30:00
USR-0039,Elizabeth Fowler,elizabeth.fowler@arcline.com,AM,ENT,America/New_York,true,2026-04-01 05:30:00
USR-0040,Brittany Farmer,brittany.farmer@arcline.com,AM,enterprise,America/Denver,true,2026-04-01 05:30:00
